"FAOSTAT_name","LPJmL_name","comments"
"beetfor","temperate roots",
"cabbagefor","Others, annual",
"carrotfor","temperate roots",
"clover","Others, annual",
"fornes","Others, annual",
"grassnes","Others, annual",
"legumenes","Others, annual",
"maizefor","maize",
"mixedgrass","Others, annual",
"oilseedfor","Others, annual",
"popcorn","maize",
"ryefor","temperate cereals",
"sorghumfor","tropical cereals",
"swedefor","temperate roots",
"turnipfor","temperate roots",
"vegfor","Others, annual",
